Subject_ID	subject_id	query_id	ensembl_gene_id	external_gene_name	prefix
NM_001328437	NM_001328437.1	XM_039654503.1	ENSDARG00000042387	zgc:77752	NM
NM_001328437	NM_001328437.1	XM_039654504.1	ENSDARG00000042387	zgc:77752	NM
NM_001142376	NM_001142376.1	XM_039654506.1	ENSDARG00000100119	caskb	NM
NM_199958	NM_199958.1	XM_039654507.1	ENSDARG00000114397	cimap1b	NM
NM_199958	NM_199958.1	XM_039654508.1	ENSDARG00000114397	cimap1b	NM
XM_021467733	XM_021467733.1	XM_039654509.1	ENSDARG00000111801	NA	XM
XM_021467752	XM_021467752.1	XM_039654510.1	ENSDARG00000063293	NA	XM
NM_001199318	NM_001199318.1	XM_039654511.1	ENSDARG00000061918	cplx2b	NM
NM_001199318	NM_001199318.1	XM_039654512.1	ENSDARG00000061918	cplx2b	NM
NM_001199318	NM_001199318.1	XM_039654513.1	ENSDARG00000061918	cplx2b	NM
NM_001199318	NM_001199318.1	XM_039654514.1	ENSDARG00000061918	cplx2b	NM
NM_001142376	NM_001142376.1	XM_039654515.1	ENSDARG00000100119	caskb	NM
NM_001199318	NM_001199318.1	XM_039654516.1	ENSDARG00000061918	cplx2b	NM
XM_005161933	XM_005161933.4	XM_039654517.1	ENSDARG00000074360	NA	XM
XM_681149	XM_681149.7	XM_039654518.1	NA	NA	XM
NM_200482	NM_200482.2	XM_039654519.1	ENSDARG00000028581	jkamp	NM
XM_005158654	XM_005158654.4	XM_039654520.1	ENSDARG00000089320	NA	XM
XM_685567	XM_685567.9	XM_039654521.1	ENSDARG00000073902	NA	XM
NM_001142376	NM_001142376.1	XM_039654522.1	ENSDARG00000100119	caskb	NM
NM_001126421	NM_001126421.1	XM_039654523.1	ENSDARG00000009372	diras1b	NM
NM_001126421	NM_001126421.1	XM_039654524.1	ENSDARG00000009372	diras1b	NM
XM_017358225	XM_017358225.2	XM_039654525.1	ENSDARG00000024365	crlf1a	XM
XM_009298725	XM_009298725.3	XM_039654526.1	ENSDARG00000024365	crlf1a	XM
NM_001190816	NM_001190816.1	XM_039654527.1	ENSDARG00000032465	slc1a8b	NM
NM_001001832	NM_001001832.1	XM_039654528.1	ENSDARG00000021022	ift57	NM
NM_001001832	NM_001001832.1	XM_039654529.1	ENSDARG00000021022	ift57	NM
NM_001142376	NM_001142376.1	XM_039654530.1	ENSDARG00000100119	caskb	NM
XM_685091	XM_685091.8	XM_039654532.1	ENSDARG00000054162	NFATC4	XM
NM_001128716	NM_001128716.1	XM_039654533.1	ENSDARG00000060354	samd7	NM
NM_001020770	NM_001020770.1	XM_039654534.1	ENSDARG00000011326	ankrd45	NM
XM_694159	XM_694159.8	XM_039654536.1	ENSDARG00000012600	NA	XM
NM_001142376	NM_001142376.1	XM_039654537.1	ENSDARG00000100119	caskb	NM
XM_694159	XM_694159.8	XM_039654538.1	ENSDARG00000012600	NA	XM
XM_694098	XM_694098.8	XM_039654539.1	ENSDARG00000091628	NA	XM
XM_005171392	XM_005171392.4	XM_039654540.1	ENSDARG00000091628	NA	XM
XM_021468664	XM_021468664.1	XM_039654541.1	ENSDARG00000091628	NA	XM
XM_694098	XM_694098.8	XM_039654542.1	ENSDARG00000091628	NA	XM
XM_694098	XM_694098.8	XM_039654543.1	ENSDARG00000091628	NA	XM
XM_694098	XM_694098.8	XM_039654544.1	ENSDARG00000091628	NA	XM
XM_694125	XM_694125.7	XM_039654545.1	ENSDARG00000038669	NA	XM
NM_001142376	NM_001142376.1	XM_039654546.1	ENSDARG00000100119	caskb	NM
XM_694125	XM_694125.7	XM_039654547.1	ENSDARG00000038669	NA	XM
XM_694125	XM_694125.7	XM_039654548.1	ENSDARG00000038669	NA	XM
XM_694125	XM_694125.7	XM_039654549.1	ENSDARG00000038669	NA	XM
XM_694125	XM_694125.7	XM_039654550.1	ENSDARG00000038669	NA	XM
NM_001002343	NM_001002343.1	XM_039654551.1	ENSDARG00000038668	gbp1	NM
XM_005171393	XM_005171393.4	XM_039654552.1	ENSDARG00000060177	VCPIP1	XM
XM_005171393	XM_005171393.4	XM_039654553.1	ENSDARG00000060177	VCPIP1	XM
NM_212895	NM_212895.2	XM_039654554.1	ENSDARG00000018077	rbp1.1	NM
NM_001142376	NM_001142376.1	XM_039654555.1	ENSDARG00000100119	caskb	NM
XM_685301	XM_685301.8	XM_039654556.1	ENSDARG00000038709	MYADM	XM
NM_001045087	NM_001045087.1	XM_039654557.1	ENSDARG00000040306	otomp	NM
NM_001161488	NM_001161488.2	XM_039654559.1	ENSDARG00000023181	pcp4l1	NM
NM_001007178	NM_001007178.1	XM_039654560.1	ENSDARG00000108530	psmb11a	NM
NM_001025505	NM_001025505.1	XM_039654561.1	ENSDARG00000023157	cbln10	NM
NM_200004	NM_200004.1	XM_039654562.1	ENSDARG00000004580	nmnat2	NM
NM_001142376	NM_001142376.1	XM_039654563.1	ENSDARG00000100119	caskb	NM
NM_001080002	NM_001080002.1	XM_039654564.1	ENSDARG00000060362	nadkb	NM
NM_001080002	NM_001080002.1	XM_039654565.1	ENSDARG00000060362	nadkb	NM
NM_001080002	NM_001080002.1	XM_039654566.1	ENSDARG00000060362	nadkb	NM
NM_001080002	NM_001080002.1	XM_039654567.1	ENSDARG00000060362	nadkb	NM
NM_001080002	NM_001080002.1	XM_039654568.1	ENSDARG00000060362	nadkb	NM
NM_001025530	NM_001025530.1	XM_039654569.1	ENSDARG00000019951	sec62	NM
NM_001080198	NM_001080198.2	XM_039654570.1	ENSDARG00000038658	cavin4a	NM
NM_001142376	NM_001142376.1	XM_039654571.1	ENSDARG00000100119	caskb	NM
NM_001123046	NM_001123046.1	XM_039654572.1	ENSDARG00000074064	rem2	NM
XM_005171273	XM_005171273.4	XM_039654573.1	ENSDARG00000068175	ing5b	XM
XM_009293058	XM_009293058.3	XM_039654575.1	ENSDARG00000043643	EHBP1	XM
NM_001142376	NM_001142376.1	XM_039654576.1	ENSDARG00000100119	caskb	NM
NM_001142376	NM_001142376.1	XM_039654577.1	ENSDARG00000100119	caskb	NM
NM_001142376	NM_001142376.1	XM_039654578.1	ENSDARG00000100119	caskb	NM
NM_001142376	NM_001142376.1	XM_039654579.1	ENSDARG00000100119	caskb	NM
NM_001142376	NM_001142376.1	XM_039654580.1	ENSDARG00000100119	caskb	NM
NM_001142376	NM_001142376.1	XM_039654581.1	ENSDARG00000100119	caskb	NM
NM_001142376	NM_001142376.1	XM_039654582.1	ENSDARG00000100119	caskb	NM
NM_200574	NM_200574.4	XM_039654583.1	ENSDARG00000034086	zgc:65895	NM
NM_001005316	NM_001005316.2	XM_039654584.1	ENSDARG00000026990	klhl6	NM
XM_005171262	XM_005171262.4	XM_039654585.1	ENSDARG00000068177	pak2a	XM
XM_005171351	XM_005171351.4	XM_039654586.1	NA	NA	XM
XM_005171351	XM_005171351.4	XM_039654587.1	NA	NA	XM
NM_200574	NM_200574.4	XM_039654588.1	ENSDARG00000034086	zgc:65895	NM
XM_017351903	XM_017351903.2	XM_039654589.1	NA	NA	XM
XM_017351903	XM_017351903.2	XM_039654590.1	NA	NA	XM
XM_005171348	XM_005171348.4	XM_039654592.1	ENSDARG00000112125	NA	XM
NM_001017836	NM_001017836.1	XM_039654593.1	ENSDARG00000014209	odf3l2a	NM
XM_021467806	XM_021467806.1	XM_039654594.1	ENSDARG00000077996	CDH24	XM
XM_021467806	XM_021467806.1	XM_039654595.1	ENSDARG00000077996	CDH24	XM
XM_005158532	XM_005158532.4	XM_039654596.1	ENSDARG00000043643	EHBP1	XM
XM_021479882	XM_021479882.1	XM_039654598.1	ENSDARG00000038731	slc25a36a	XM
XM_005171308	XM_005171308.4	XM_039654599.1	ENSDARG00000060767	smg7	XM
NM_001045083	NM_001045083.2	XM_039654600.1	ENSDARG00000060767	smg7	NM
NM_001045083	NM_001045083.2	XM_039654601.1	ENSDARG00000060767	smg7	NM
NM_001045083	NM_001045083.2	XM_039654602.1	ENSDARG00000060767	smg7	NM
NM_001114740	NM_001114740.1	XM_039654603.1	ENSDARG00000026972	si:ch211-119o8.6	NM
NM_001114740	NM_001114740.1	XM_039654604.1	ENSDARG00000026972	si:ch211-119o8.6	NM
XM_690325	XM_690325.7	XM_039654605.1	ENSDARG00000076020	PAPPA2	XM
XM_690325	XM_690325.7	XM_039654607.1	ENSDARG00000076020	PAPPA2	XM
XM_017351897	XM_017351897.2	XM_039654608.1	ENSDARG00000068323	ASTN1	XM
XM_017351897	XM_017351897.2	XM_039654609.1	ENSDARG00000068323	ASTN1	XM
XM_017351899	XM_017351899.2	XM_039654610.1	ENSDARG00000068323	ASTN1	XM
NM_199561	NM_199561.2	XM_039654611.1	ENSDARG00000031681	atp6v0b	NM
NM_001201348	NM_001201348.1	XM_039654618.1	ENSDARG00000060350	apoda.2	NM
XM_685228	XM_685228.6	XM_039654619.1	ENSDARG00000005327	NA	XM
NM_001114899	NM_001114899.1	XM_039654620.1	ENSDARG00000038742	rbp1.2	NM
XM_021471261	XM_021471261.1	XM_039654624.1	ENSDARG00000111685	NA	XM
XM_021471260	XM_021471260.1	XM_039654625.1	ENSDARG00000111685	NA	XM
XM_021471260	XM_021471260.1	XM_039654626.1	ENSDARG00000111685	NA	XM
XM_021471259	XM_021471259.1	XM_039654627.1	ENSDARG00000115074	NA	XM
XM_021471259	XM_021471259.1	XM_039654628.1	ENSDARG00000115074	NA	XM
XM_021471259	XM_021471259.1	XM_039654629.1	ENSDARG00000115074	NA	XM
XM_021471259	XM_021471259.1	XM_039654630.1	ENSDARG00000115074	NA	XM
XM_021471259	XM_021471259.1	XM_039654631.1	ENSDARG00000115074	NA	XM
XM_021471259	XM_021471259.1	XM_039654632.1	ENSDARG00000115074	NA	XM
NM_001007120	NM_001007120.2	XM_039654633.1	ENSDARG00000054304	homeza	NM
NM_001002205	NM_001002205.1	XM_039654634.1	ENSDARG00000116842	dhrs1	NM
NM_001244794	NM_001244794.1	XM_039654635.1	ENSDARG00000054292	C2H14orf119	NM
NM_001347671	NM_001347671.1	XM_039654636.1	ENSDARG00000111419	chd8	NM
NM_001347671	NM_001347671.1	XM_039654637.1	ENSDARG00000111419	chd8	NM
NM_001347671	NM_001347671.1	XM_039654638.1	ENSDARG00000111419	chd8	NM
NM_001347671	NM_001347671.1	XM_039654639.1	ENSDARG00000111419	chd8	NM
NM_001142672	NM_001142672.1	XM_039654640.1	ENSDARG00000011948	insra	NM
NM_001030137	NM_001030137.2	XM_039654641.1	ENSDARG00000023185	apold1a	NM
NM_001030137	NM_001030137.2	XM_039654642.1	ENSDARG00000023185	apold1a	NM
NM_001030137	NM_001030137.2	XM_039654643.1	ENSDARG00000023185	apold1a	NM
NM_001030138	NM_001030138.1	XM_039654644.1	ENSDARG00000110882	apol1	NM
NM_001030138	NM_001030138.1	XM_039654645.1	ENSDARG00000110882	apol1	NM
NM_001030138	NM_001030138.1	XM_039654646.1	ENSDARG00000110882	apol1	NM
NM_001005773	NM_001005773.2	XM_039654647.1	ENSDARG00000103505	fbxl3a	NM
NM_001030138	NM_001030138.1	XM_039654648.1	ENSDARG00000110882	apol1	NM
NM_001030138	NM_001030138.1	XM_039654649.1	ENSDARG00000110882	apol1	NM
NM_001030138	NM_001030138.1	XM_039654650.1	ENSDARG00000110882	apol1	NM
NM_001030138	NM_001030138.1	XM_039654651.1	ENSDARG00000110882	apol1	NM
NM_001030138	NM_001030138.1	XM_039654652.1	ENSDARG00000110882	apol1	NM
NM_001030138	NM_001030138.1	XM_039654653.1	ENSDARG00000110882	apol1	NM
NM_001030138	NM_001030138.1	XM_039654654.1	ENSDARG00000110882	apol1	NM
NM_001020508	NM_001020508.2	XM_039654655.1	ENSDARG00000054754	hs6st1a	NM
NM_001025505	NM_001025505.1	XM_039654656.1	ENSDARG00000023157	cbln10	NM
NM_001025505	NM_001025505.1	XM_039654658.1	ENSDARG00000023157	cbln10	NM
XM_005171321	XM_005171321.4	XM_039654660.1	ENSDARG00000036257	RASAL2	XM
XM_005171321	XM_005171321.4	XM_039654661.1	ENSDARG00000036257	RASAL2	XM
XM_005171321	XM_005171321.4	XM_039654662.1	ENSDARG00000036257	RASAL2	XM
XM_005171321	XM_005171321.4	XM_039654663.1	ENSDARG00000036257	RASAL2	XM
XM_005171322	XM_005171322.4	XM_039654664.1	ENSDARG00000036257	RASAL2	XM
XM_005171322	XM_005171322.4	XM_039654665.1	ENSDARG00000036257	RASAL2	XM
XM_005171321	XM_005171321.4	XM_039654666.1	ENSDARG00000036257	RASAL2	XM
XM_005171321	XM_005171321.4	XM_039654667.1	ENSDARG00000036257	RASAL2	XM
XM_001332652	XM_001332652.8	XM_039654668.1	ENSDARG00000036257	RASAL2	XM
XM_001332652	XM_001332652.8	XM_039654669.1	ENSDARG00000036257	RASAL2	XM
XM_001332652	XM_001332652.8	XM_039654670.1	ENSDARG00000036257	RASAL2	XM
XM_001332652	XM_001332652.8	XM_039654671.1	ENSDARG00000036257	RASAL2	XM
NM_212983	NM_212983.1	XM_039654672.1	ENSDARG00000023303	zgc:66427	NM
NM_001007215	NM_001007215.1	XM_039654674.1	NA	NA	NM
NM_001123061	NM_001123061.2	XM_039654676.1	ENSDARG00000026904	cbln13	NM
NM_001130853	NM_001130853.3	XM_039654677.1	ENSDARG00000079784	tmem71	NM
NM_001001941	NM_001001941.2	XM_039654680.1	ENSDARG00000004173	copa	NM
NM_001159839	NM_001159839.1	XM_039654681.1	ENSDARG00000060637	clstn2a	NM
XM_021478329	XM_021478329.1	XM_039654682.1	ENSDARG00000079202	parp2	XM
XM_009298670	XM_009298670.2	XM_039654683.1	ENSDARG00000103889	NA	XM
XM_009298670	XM_009298670.2	XM_039654684.1	ENSDARG00000103889	NA	XM
XM_009298670	XM_009298670.2	XM_039654685.1	ENSDARG00000103889	NA	XM
NM_001076578	NM_001076578.1	XM_039654687.1	ENSDARG00000099617	sdr39u1	NM
NM_214818	NM_214818.1	XM_039654688.1	ENSDARG00000011157	arhgef18a	NM
XM_021478911	XM_021478911.1	XM_039654689.1	ENSDARG00000030448	sppl2	XM
XM_005171267	XM_005171267.4	XM_039654690.1	ENSDARG00000038695	elavl1a	XM
XM_005171268	XM_005171268.4	XM_039654691.1	ENSDARG00000038695	elavl1a	XM
XM_005171267	XM_005171267.4	XM_039654692.1	ENSDARG00000038695	elavl1a	XM
XM_009298634	XM_009298634.2	XM_039654693.1	ENSDARG00000038695	elavl1a	XM
NM_153658	NM_153658.1	XM_039654694.1	ENSDARG00000011600	epha4b	NM
NM_153658	NM_153658.1	XM_039654695.1	ENSDARG00000011600	epha4b	NM
XM_021467769	XM_021467769.1	XM_039654696.1	ENSDARG00000075116	NA	XM
XM_021467766	XM_021467766.1	XM_039654697.1	ENSDARG00000068240	NA	XM
NM_001243318	NM_001243318.1	XM_039654699.1	ENSDARG00000109237	cbln12	NM
NM_001243318	NM_001243318.1	XM_039654700.1	ENSDARG00000109237	cbln12	NM
NM_001243318	NM_001243318.1	XM_039654701.1	ENSDARG00000109237	cbln12	NM
NM_001317765	NM_001317765.1	XM_039654702.1	ENSDARG00000086990	carmil3	NM
NM_001317765	NM_001317765.1	XM_039654703.1	ENSDARG00000086990	carmil3	NM
XM_021478603	XM_021478603.1	XM_039654704.1	ENSDARG00000086990	carmil3	XM
NM_001080597	NM_001080597.1	XM_039654705.1	ENSDARG00000060210	d2hgdh	NM
NM_001080597	NM_001080597.1	XM_039654706.1	ENSDARG00000060210	d2hgdh	NM
NM_001080597	NM_001080597.1	XM_039654707.1	ENSDARG00000060210	d2hgdh	NM
NM_131345	NM_131345.1	XM_039654708.1	ENSDARG00000014986	acvr1l	NM
XM_017352038	XM_017352038.2	XM_039654709.1	ENSDARG00000014692	ZNF622	XM
NM_001045087	NM_001045087.1	XM_039654710.1	ENSDARG00000040306	otomp	NM
XM_017351684	XM_017351684.2	XM_039654711.1	ENSDARG00000091902	b3gnt2b	XM
XM_021477337	XM_021477337.1	XM_039654712.1	NA	NA	XM
NM_001045087	NM_001045087.1	XM_039654713.1	ENSDARG00000040306	otomp	NM
NM_001045087	NM_001045087.1	XM_039654714.1	ENSDARG00000040306	otomp	NM
XM_009298722	XM_009298722.3	XM_039654715.1	ENSDARG00000056490	SSBP4	XM
NM_001020567	NM_001020567.1	XM_039654716.1	ENSDARG00000056490	SSBP4	NM
XM_009298722	XM_009298722.3	XM_039654717.1	ENSDARG00000056490	SSBP4	XM
NM_001020567	NM_001020567.1	XM_039654718.1	ENSDARG00000056490	SSBP4	NM
NM_001201444	NM_001201444.1	XM_039654719.1	ENSDARG00000079725	dhx9	NM
NM_001201444	NM_001201444.1	XM_039654720.1	ENSDARG00000079725	dhx9	NM
NM_001201444	NM_001201444.1	XM_039654721.1	ENSDARG00000079725	dhx9	NM
NM_001309831	NM_001309831.1	XM_039654722.1	ENSDARG00000014302	brinp2	NM
XM_021480338	XM_021480338.1	XM_039654723.1	ENSDARG00000054746	uggt1	XM
XM_021480338	XM_021480338.1	XM_039654724.1	ENSDARG00000054746	uggt1	XM
NM_201308	NM_201308.1	XM_039654725.1	ENSDARG00000038754	plk3	NM
NM_212887	NM_212887.1	XM_039654726.1	ENSDARG00000014731	cacybp	NM
XM_005171310	XM_005171310.4	XM_039654727.1	ENSDARG00000008388	mmp14b	XM
NM_173277	NM_173277.1	XM_039654728.1	ENSDARG00000036279	lamc1	NM
NM_001289858	NM_001289858.1	XM_039654729.1	ENSDARG00000054337	ap1g2	NM
XM_001346278	XM_001346278.7	XM_039654730.1	ENSDARG00000110170	NA	XM
NM_001002557	NM_001002557.1	XM_039654731.1	ENSDARG00000103472	nedd8l	NM
NM_182864	NM_182864.2	XM_039654732.1	ENSDARG00000016132	keap1a	NM
XM_005171318	XM_005171318.4	XM_039654733.1	ENSDARG00000054454	epha4a	XM
XM_005171317	XM_005171317.4	XM_039654734.1	ENSDARG00000054454	epha4a	XM
XM_005171317	XM_005171317.4	XM_039654735.1	ENSDARG00000054454	epha4a	XM
NM_001199372	NM_001199372.1	XM_039654736.1	ENSDARG00000077036	NA	NM
NM_201074	NM_201074.2	XM_039654737.1	ENSDARG00000018106	eif2b3	NM
XM_005163492	XM_005163492.4	XM_039654738.1	ENSDARG00000038801	klhl20	XM
NM_001003878	NM_001003878.2	XM_039654739.1	ENSDARG00000038802	cenpl	NM
NM_001302810	NM_001302810.1	XM_039654740.1	ENSDARG00000094295	NA	NM
NM_001302810	NM_001302810.1	XM_039654741.1	ENSDARG00000094295	NA	NM
XM_695734	XM_695734.7	XM_039654742.1	ENSDARG00000077034	NMNAT3	XM
XM_695734	XM_695734.7	XM_039654743.1	ENSDARG00000077034	NMNAT3	XM
XM_021478383	XM_021478383.1	XM_039654745.1	ENSDARG00000079329	cop1	XM
NM_001089542	NM_001089542.1	XM_039654746.1	ENSDARG00000079329	cop1	NM
XM_001920966	XM_001920966.7	XM_039654747.1	ENSDARG00000002031	NA	XM
XM_001920966	XM_001920966.7	XM_039654748.1	ENSDARG00000002031	NA	XM
XM_694712	XM_694712.8	XM_039654749.1	ENSDARG00000060861	DARS2	XM
XM_009298652	XM_009298652.3	XM_039654750.1	NA	NA	XM
XM_009298656	XM_009298656.3	XM_039654751.1	NA	NA	XM
XM_005171330	XM_005171330.4	XM_039654752.1	NA	NA	XM
XM_009298652	XM_009298652.3	XM_039654753.1	NA	NA	XM
XM_009298652	XM_009298652.3	XM_039654754.1	NA	NA	XM
XM_009298652	XM_009298652.3	XM_039654755.1	NA	NA	XM
XM_001345991	XM_001345991.8	XM_039654756.1	ENSDARG00000060395	NA	XM
XM_001345991	XM_001345991.8	XM_039654757.1	ENSDARG00000060395	NA	XM
NM_131855	NM_131855.2	XM_039654758.1	ENSDARG00000021225	prkci	NM
XM_685593	XM_685593.8	XM_039654759.1	ENSDARG00000074447	DAPK3	XM
NM_130988	NM_130988.2	XM_039654760.1	ENSDARG00000055026	ptch2	NM
NM_130988	NM_130988.2	XM_039654761.1	ENSDARG00000055026	ptch2	NM
NM_131151	NM_131151.1	XM_039654762.1	ENSDARG00000111880	psmb5	NM
NM_001007183	NM_001007183.2	XM_039654763.1	ENSDARG00000116785	prmt5	NM
NM_001017399	NM_001017399.1	XM_039654764.1	ENSDARG00000004891	pex19	NM
XM_693936	XM_693936.8	XM_039654765.1	ENSDARG00000008858	CYP7B1	XM
NM_207086	NM_207086.1	XM_039654766.1	ENSDARG00000053518	adhfe1	NM
NM_001002358	NM_001002358.1	XM_039654767.1	ENSDARG00000029596	trim55a	NM
NM_001002358	NM_001002358.1	XM_039654768.1	ENSDARG00000029596	trim55a	NM
XM_001923700	XM_001923700.6	XM_039654769.1	ENSDARG00000095649	NA	XM
NM_001001591	NM_001001591.1	XM_039654771.1	ENSDARG00000068143	slc39a6	NM
NM_001001591	NM_001001591.1	XM_039654772.1	ENSDARG00000068143	slc39a6	NM
XM_009298730	XM_009298730.3	XM_039654773.1	ENSDARG00000008191	NA	XM
NM_001201348	NM_001201348.1	XM_039654774.1	ENSDARG00000060350	apoda.2	NM
NM_001201348	NM_001201348.1	XM_039654775.1	ENSDARG00000060350	apoda.2	NM
NM_001007180	NM_001007180.3	XM_039654777.1	ENSDARG00000115206	zp3f.1	NM
XM_001341546	XM_001341546.6	XM_039654778.1	ENSDARG00000053836	NA	XM
NM_194383	NM_194383.1	XM_039654779.1	ENSDARG00000020771	tnr	NM
XM_005171279	XM_005171279.4	XM_039654780.1	ENSDARG00000020771	tnr	XM
NM_001076582	NM_001076582.2	XM_039654781.1	ENSDARG00000060345	apoda.1	NM
XM_017351932	XM_017351932.2	XM_039654782.1	ENSDARG00000023933	SKIL	XM
NM_205752	NM_205752.2	XM_039654783.1	ENSDARG00000091902	b3gnt2b	NM
NM_001308970	NM_001308970.2	XM_039654786.1	ENSDARG00000054170	ltb4r2b	NM
NM_001308970	NM_001308970.2	XM_039654787.1	ENSDARG00000054170	ltb4r2b	NM
NM_001256642	NM_001256642.1	XM_039654789.1	ENSDARG00000016084	spsb4a	NM
NM_001105679	NM_001105679.2	XM_039654792.1	ENSDARG00000002728	kiss1ra	NM
XM_009298662	XM_009298662.2	XM_039654793.1	ENSDARG00000077410	MYO9B	XM
XM_005171334	XM_005171334.4	XM_039654794.1	ENSDARG00000077410	MYO9B	XM
XM_005171334	XM_005171334.4	XM_039654795.1	ENSDARG00000077410	MYO9B	XM
XM_009298664	XM_009298664.3	XM_039654796.1	ENSDARG00000077410	MYO9B	XM
NM_199584	NM_199584.1	XM_039654797.1	ENSDARG00000013117	mfsd14a2	NM
NM_199584	NM_199584.1	XM_039654798.1	ENSDARG00000013117	mfsd14a2	NM
NM_001111162	NM_001111162.1	XM_039654800.1	ENSDARG00000053792	si:rp71-1g18.1	NM
NM_131036	NM_131036.2	XM_039654802.1	ENSDARG00000024829	tnn	NM
NM_131036	NM_131036.2	XM_039654803.1	ENSDARG00000024829	tnn	NM
XM_021467753	XM_021467753.1	XM_039654804.1	ENSDARG00000000324	DCAF8	XM
NM_001003620	NM_001003620.2	XM_039654805.1	ENSDARG00000038716	casq1a	NM
XM_021479568	XM_021479568.1	XM_039654806.1	ENSDARG00000053810	hnrnpc	XM
XM_021479568	XM_021479568.1	XM_039654807.1	ENSDARG00000053810	hnrnpc	XM
NM_001114593	NM_001114593.1	XM_039654810.1	ENSDARG00000076228	kif2c	NM
NM_001114593	NM_001114593.1	XM_039654811.1	ENSDARG00000076228	kif2c	NM
NM_001013536	NM_001013536.2	XM_039654812.1	ENSDARG00000038694	zgc:101744	NM
NM_001113508	NM_001113508.1	XM_039654813.1	ENSDARG00000053620	ebi3	NM
XM_003197884	XM_003197884.5	XM_039654814.1	ENSDARG00000068288	NA	XM
XM_005171315	XM_005171315.4	XM_039654815.1	ENSDARG00000054454	epha4a	XM
XM_005171348	XM_005171348.4	XM_039654820.1	ENSDARG00000112125	NA	XM
NM_001305572	NM_001305572.1	XM_039654821.1	ENSDARG00000095090	tspan37	NM
NM_001003872	NM_001003872.1	XM_039654822.1	ENSDARG00000014685	esco2	NM
NM_001080193	NM_001080193.1	XM_039654823.1	ENSDARG00000059794	kdm6al	NM
NM_001002387	NM_001002387.1	XM_039654824.1	ENSDARG00000007221	pbk	NM
NM_001190308	NM_001190308.1	XM_039654825.1	ENSDARG00000069473	frem1a	NM
NM_131762	NM_131762.2	XM_039654826.1	ENSDARG00000069888	cldna	NM
XM_017353725	XM_017353725.2	XM_039654827.1	ENSDARG00000078404	NA	XM
NM_001080193	NM_001080193.1	XM_039654828.1	ENSDARG00000059794	kdm6al	NM
XM_005170559	XM_005170559.4	XM_039654829.1	ENSDARG00000087641	cdh26.2	XM
NM_001205027	NM_001205027.1	XM_039654832.1	ENSDARG00000067613	dnajc25	NM
NM_001080193	NM_001080193.1	XM_039654833.1	ENSDARG00000059794	kdm6al	NM
NM_182873	NM_182873.1	XM_039654834.1	ENSDARG00000041502	tgfb1a	NM
NM_182873	NM_182873.1	XM_039654835.1	ENSDARG00000041502	tgfb1a	NM
XM_005169680	XM_005169680.4	XM_039654838.1	NA	NA	XM
NM_001320439	NM_001320439.1	XM_039654839.1	ENSDARG00000059035	porb	NM
NM_001320439	NM_001320439.1	XM_039654840.1	ENSDARG00000059035	porb	NM
NM_131764	NM_131764.1	XM_039654841.1	ENSDARG00000015955	cldn3d	NM
XM_005157831	XM_005157831.4	XM_039654842.1	ENSDARG00000014571	ctnnb1	XM
NM_131059	NM_131059.2	XM_039654843.1	ENSDARG00000014571	ctnnb1	NM
XM_005168790	XM_005168790.4	XM_039654844.1	ENSDARG00000005774	ddx3xb	XM
NM_131769	NM_131769.2	XM_039654846.1	ENSDARG00000058880	cldnj	NM
NM_131769	NM_131769.2	XM_039654847.1	ENSDARG00000058880	cldnj	NM
NM_205752	NM_205752.2	XM_039654851.1	ENSDARG00000091902	b3gnt2b	NM
NM_130941	NM_130941.2	XM_039654852.1	ENSDARG00000005774	ddx3xb	NM
NM_001079973	NM_001079973.1	XM_039654853.1	ENSDARG00000070019	taf15	NM
NM_001079973	NM_001079973.1	XM_039654854.1	ENSDARG00000070019	taf15	NM
XM_005173352	XM_005173352.4	XM_039654855.1	ENSDARG00000070019	taf15	XM
NM_001190485	NM_001190485.1	XM_039654856.1	ENSDARG00000100108	cul3b	NM
NM_001007422	NM_001007422.1	XM_039654857.1	ENSDARG00000099336	mvda	NM
XM_005168788	XM_005168788.4	XM_039654858.1	ENSDARG00000005774	ddx3xb	XM
NM_200579	NM_200579.1	XM_039654859.1	ENSDARG00000018283	cyba	NM
NM_001014350	NM_001014350.2	XM_039654860.1	ENSDARG00000034313	ppp5c	NM
XM_009296048	XM_009296048.3	XM_039654862.1	ENSDARG00000058753	NA	XM
XM_005168788	XM_005168788.4	XM_039654864.1	ENSDARG00000005774	ddx3xb	XM
XM_001341012	XM_001341012.8	XM_039654866.1	ENSDARG00000075327	DOCK10	XM
XM_005157381	XM_005157381.4	XM_039654867.1	ENSDARG00000079385	NA	XM
NM_201121	NM_201121.1	XM_039654869.1	ENSDARG00000027803	sbds	NM
XM_009291410	XM_009291410.3	XM_039654870.1	ENSDARG00000087489	FAM124B	XM
XM_009291410	XM_009291410.3	XM_039654871.1	ENSDARG00000087489	FAM124B	XM
XM_009291410	XM_009291410.3	XM_039654872.1	ENSDARG00000087489	FAM124B	XM
XM_021469628	XM_021469628.1	XM_039654873.1	ENSDARG00000073789	NA	XM
XM_009299803	XM_009299803.3	XM_039654874.1	ENSDARG00000078186	tex2	XM
XM_009299803	XM_009299803.3	XM_039654875.1	ENSDARG00000078186	tex2	XM
XM_005164255	XM_005164255.4	XM_039654876.1	ENSDARG00000078186	tex2	XM
NM_001190485	NM_001190485.1	XM_039654877.1	ENSDARG00000100108	cul3b	NM
